window_id,mse
1,0.34757558
2,0.35152236
3,0.35050303
4,0.34663981
5,0.34312448
6,0.34033567
7,0.33814615
8,0.33336997
9,0.33007258
10,0.00031817
11,0.00044187
12,0.00047798
13,0.00060372
14,0.00082630
15,0.00090454
16,0.00082486
17,0.00076854
18,0.00085922
19,0.00092665
20,0.00097026
21,0.00108344
22,0.00095924
23,0.00092270
24,0.00092994
25,0.00095898
26,0.00088888
27,0.00090673
28,0.00096743
29,0.00093244
30,0.00097805
31,0.00104307
32,0.00102601
33,0.00104627
34,0.00103858
35,0.00109974
36,0.00108271
37,0.00093549
38,0.00095104
39,0.00089006
40,0.00080466
41,0.00079895
42,0.00087056
43,0.00082159
44,0.00076761
45,0.00085759
46,0.00090568
47,0.00079675
48,0.00075122
49,0.00080782
50,0.00077626
51,0.00078747
52,0.00072242
53,0.00068879
54,0.00073654
55,0.00061993
56,0.00061342
57,0.00063607
58,0.00068543
59,0.00071636
60,0.00061715
61,0.00070975
62,0.00061037
63,0.00057719
64,0.00066765
65,0.00065585
66,0.00054892
67,0.00050039
68,0.00053003
69,0.00054414
70,0.00048612
71,0.00045524
72,0.00053991
73,0.00064998
74,0.00056443
75,0.00049952
76,0.00044767
77,0.00052123
78,0.00049406
79,0.00047868
80,0.00044003
81,0.00049864
82,0.00051843
83,0.00048608
84,0.00039195
85,0.00044186
86,0.00051499
87,0.00049500
88,0.00047612
89,0.00044667
90,0.00047634
91,0.00046631
92,0.00051146
93,0.00039026
94,0.00036435
95,0.00049839
96,0.00043374
97,0.00039666
98,0.00044459
99,0.00037182
100,0.00033954
1,0.34714293
2,0.34584150
3,0.34347177
4,0.34205514
5,0.33884710
6,0.33124679
7,0.32489082
8,0.32325071
9,0.32019198
10,0.00089441
11,0.00104237
12,0.00094980
13,0.00084517
14,0.00065565
15,0.00072431
16,0.00079133
17,0.00082409
18,0.00096883
19,0.00106892
20,0.00137321
21,0.00142690
