timestamp_ms,ax,ay,az,gx,gy,gz
19973,0.0566,-0.0071,1.0376,0.3053,-2.5191,-0.8244
19997,0.0498,-0.0227,1.0337,0.0305,-2.4275,-0.8244
20006,0.0515,-0.0217,1.0405,0.5954,-2.5191,-0.8550
20016,0.0569,-0.0337,1.0410,-0.1527,-2.4885,-0.8092
20026,0.0574,-0.0291,1.0435,0.4122,-2.7328,-0.8397
20036,0.0508,-0.0352,1.0356,-0.2290,-2.4733,-0.7939
20046,0.0549,-0.0259,1.0442,0.3969,-2.6260,-0.7939
20056,0.0566,-0.0256,1.0405,-0.0305,-2.4885,-0.7939
20066,0.0522,-0.0264,1.0430,0.0153,-2.4275,-0.8550
20076,0.0544,-0.0198,1.0408,0.3664,-2.5954,-0.8550
20086,0.0547,-0.0276,1.0413,-0.2137,-2.4733,-0.7786
20096,0.0557,-0.0295,1.0420,0.0305,-2.5649,-0.8397
20106,0.0544,-0.0247,1.0439,0.1832,-2.5649,-0.8702
20116,0.0510,-0.0264,1.0432,0.1832,-2.5191,-0.8397
20126,0.0559,-0.0234,1.0415,0.2748,-2.5191,-0.8550
20136,0.0544,-0.0254,1.0435,0.3664,-2.5954,-0.8397
20146,0.0522,-0.0269,1.0410,0.4427,-2.5496,-0.7786
20156,0.0569,-0.0247,1.0396,0.5496,-2.5954,-0.7939
20166,0.0535,-0.0261,1.0393,0.1374,-2.5038,-0.8244
20178,0.0510,-0.0276,1.0400,0.4733,-2.5649,-0.8855
20186,0.0527,-0.0244,1.0408,0.3053,-2.5954,-0.8397
20197,0.0537,-0.0264,1.0410,0.2595,-2.5496,-0.8244
20206,0.0540,-0.0254,1.0400,0.2901,-2.5344,-0.8397
20216,0.0535,-0.0273,1.0400,0.1985,-2.5191,-0.7786
20226,0.0547,-0.0247,1.0422,0.2443,-2.5191,-0.9008
20236,0.0547,-0.0249,1.0444,0.2595,-2.5344,-0.8702
20246,0.0532,-0.0232,1.0432,0.2290,-2.5954,-0.8397
20256,0.0535,-0.0259,1.0437,0.1527,-2.4580,-0.7786
20266,0.0544,-0.0266,1.0403,0.0153,-2.4122,-0.8244
20276,0.0530,-0.0242,1.0422,-0.0305,-2.4427,-0.7939
20286,0.0552,-0.0256,1.0408,-0.1069,-2.4580,-0.8244
20296,0.0549,-0.0247,1.0425,0.0000,-2.4733,-0.8397
20306,0.0535,-0.0234,1.0400,0.1221,-2.4733,-0.8092
20316,0.0493,-0.0261,1.0376,0.0763,-2.4427,-0.8397
20326,0.0540,-0.0247,1.0442,0.1832,-2.5802,-0.7634
20336,0.0522,-0.0259,1.0396,0.3053,-2.5649,-0.7939
20346,0.0540,-0.0247,1.0388,0.1985,-2.6260,-0.7786
20356,0.0542,-0.0266,1.0388,0.1679,-2.5649,-0.7328
20366,0.0535,-0.0232,1.0403,0.2443,-2.5038,-0.7786
20376,0.0535,-0.0281,1.0371,0.1985,-2.4733,-0.7786
20386,0.0515,-0.0251,1.0405,0.4427,-2.5802,-0.9160
20398,0.0544,-0.0215,1.0422,0.4733,-2.6260,-0.7634
20406,0.0532,-0.0229,1.0452,0.4122,-2.6107,-0.8092
20416,0.0525,-0.0237,1.0447,0.2901,-2.5802,-0.8092
20426,0.0564,-0.0249,1.0432,0.2290,-2.6107,-0.8550
20436,0.0562,-0.0261,1.0398,0.2443,-2.5954,-0.7939
20446,0.0540,-0.0271,1.0447,0.2595,-2.6107,-0.7939
20456,0.0540,-0.0261,1.0452,0.2290,-2.6565,-0.8397
20466,0.0559,-0.0264,1.0413,0.2290,-2.5496,-0.8092
20476,0.0527,-0.0239,1.0393,0.1527,-2.5038,-0.8244
20486,0.0535,-0.0244,1.0374,0.1069,-2.5191,-0.7939
20496,0.0537,-0.0256,1.0410,0.0000,-2.5191,-0.8244
20506,0.0549,-0.0276,1.0422,0.1374,-2.5649,-0.8092
20516,0.0562,-0.0259,1.0425,0.3359,-2.5954,-0.7786
20526,0.0574,-0.0256,1.0449,0.3359,-2.6107,-0.8092
20536,0.0532,-0.0251,1.0405,0.4122,-2.6870,-0.7328
20546,0.0527,-0.0269,1.0422,0.2137,-2.6412,-0.8092
20556,0.0527,-0.0242,1.0439,0.1221,-2.4580,-0.7939
20566,0.0540,-0.0234,1.0474,-0.3664,-2.4733,-0.8244
20576,0.0532,-0.0266,1.0422,-0.9160,-2.3053,-0.7786
20586,0.0537,-0.0322,1.0437,-0.3664,-2.3206,-0.8092
20596,0.0510,-0.0254,1.0422,0.2443,-2.4122,-0.9008
20606,0.0547,-0.0242,1.0396,0.1221,-2.5038,-0.8397
