timestamp_ms,mse,threshold,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9
134869,0.268314,0.002938,0.0818,0.0337,0.0885,-0.0369,0.0471,0.0599,1.0480,0.1725,1.0621,1.7675
135758,0.212280,0.002938,0.0793,0.0293,0.0845,-0.0303,0.0610,0.0681,1.0353,0.1808,1.0510,1.6876
136008,0.088142,0.002938,0.0788,0.0165,0.0805,-0.0255,0.0492,0.0554,1.0376,0.1324,1.0460,1.4756
136259,0.165767,0.002938,0.0805,0.0201,0.0829,-0.0356,0.0481,0.0598,1.0466,0.1313,1.0548,1.6246
136521,0.166499,0.002938,0.0807,0.0189,0.0829,-0.0355,0.0442,0.0567,1.0481,0.1327,1.0565,1.6261
136781,0.076480,0.002938,0.0788,0.0147,0.0801,-0.0311,0.0456,0.0551,1.0347,0.1246,1.0421,1.4497
137042,0.008772,0.002938,0.0728,0.0222,0.0761,-0.0201,0.0615,0.0647,1.0265,0.0893,1.0304,1.1930
137307,0.070259,0.002938,0.0790,0.0167,0.0807,-0.0313,0.0482,0.0575,1.0421,0.1013,1.0470,1.4373
137568,0.022189,0.002938,0.0782,0.0224,0.0814,-0.0307,0.0459,0.0552,1.0286,0.0876,1.0323,1.2796
137835,0.015917,0.002938,0.0754,0.0171,0.0773,-0.0257,0.0400,0.0475,1.0339,0.0756,1.0366,1.2528
138104,0.362114,0.002938,0.0784,0.0350,0.0858,-0.0303,0.0485,0.0572,1.0462,0.1887,1.0631,1.8784
138370,0.011288,0.002938,0.0758,0.0151,0.0773,-0.0276,0.0425,0.0507,1.0292,0.0703,1.0316,1.2254
138631,0.172896,0.002938,0.0799,0.0234,0.0833,-0.0351,0.0437,0.0560,1.0567,0.1375,1.0656,1.6355
138892,0.065039,0.002938,0.0750,0.0222,0.0782,-0.0245,0.0527,0.0582,1.0359,0.1273,1.0437,1.4183
139159,0.341687,0.002938,0.0826,0.0361,0.0901,-0.0330,0.0592,0.0678,1.0390,0.1993,1.0579,1.8522
139420,0.833097,0.002938,0.0829,0.0449,0.0943,-0.0341,0.0539,0.0638,1.0534,0.2824,1.0906,2.2832
139685,0.448652,0.002938,0.0817,0.0474,0.0944,-0.0278,0.0543,0.0610,1.0588,0.2100,1.0795,1.9655
139953,0.115007,0.002938,0.0793,0.0224,0.0824,-0.0319,0.0436,0.0540,1.0404,0.1251,1.0479,1.5342
140221,0.261482,0.002938,0.0789,0.0303,0.0845,-0.0329,0.0553,0.0644,1.0450,0.1884,1.0619,1.7558
140501,0.791030,0.002938,0.0833,0.0401,0.0924,-0.0333,0.0473,0.0578,1.0559,0.2685,1.0895,2.2546
140763,0.771718,0.002938,0.0922,0.0689,0.1151,-0.0317,0.0762,0.0825,1.0864,0.3512,1.1417,2.2175
141028,0.161809,0.002938,0.0801,0.0315,0.0860,-0.0346,0.0454,0.0571,1.0327,0.1681,1.0463,1.6118
141290,0.009066,0.002938,0.0744,0.0165,0.0762,-0.0297,0.0451,0.0540,1.0294,0.0783,1.0324,1.2073
141552,0.153225,0.002938,0.0768,0.0303,0.0826,-0.0326,0.0577,0.0663,1.0410,0.1652,1.0540,1.5964
