window_id,mse
1,0.00437610
2,0.00459137
3,0.00558749
4,0.00590355
5,0.00813553
6,0.00990549
7,0.01055217
8,0.01057381
9,0.01106843
10,0.01110058
11,0.01145662
12,0.01142071
13,0.00992387
14,0.00716921
15,0.00678341
16,0.00622476
17,0.00546278
18,0.00470517
19,0.00471971
20,0.00607348
21,0.00264686
22,0.00059647
23,0.00019012
24,0.00006066
25,0.00011233
26,0.00006707
27,0.00007900
28,0.00012813
29,0.00015666
30,0.00013674
31,0.00009834
32,0.00010956
33,0.00011866
34,0.00020115
35,0.00009819
36,0.00025095
37,0.00029478
38,0.00038817
39,0.00060374
40,0.00035666
41,0.00045622
42,0.00050238
43,0.00045845
44,0.00050456
45,0.00063141
46,0.00081778
47,0.00075168
48,0.00074092
49,0.01156632
50,0.00088903
51,0.00086945
52,0.00087162
53,0.00099571
54,0.00112211
55,0.00083078
56,0.00079120
57,0.00090602
58,0.00101211
59,0.00082131
60,0.00074863
61,0.00087133
62,0.00086539
63,0.00078057
64,0.00061377
65,0.00060561
66,0.00060756
67,0.00058398
68,0.00073344
69,0.00089977
70,0.00068516
71,0.00061618
72,0.00064396
73,0.00072710
74,0.00068877
75,0.00051686
76,0.00082011
77,0.00081835
78,0.00072795
79,0.00080461
80,0.00056647
81,0.00085702
82,0.00058597
83,0.00088584
84,0.00065195
85,0.00068802
86,0.00084084
87,0.00058930
88,0.00074624
89,0.00074641
90,0.00050839
91,0.00062730
92,0.00064900
93,0.00045356
94,0.00069141
95,0.00045629
96,0.00060694
97,0.00052364
98,0.00043032
99,0.00062143
100,0.00038654
1,0.00001829
2,0.00001686
3,0.00004058
4,0.00001952
5,0.00001863
6,0.00002685
7,0.00001625
8,0.00002769
9,0.00001326
10,0.00004926
11,0.00001791
12,0.00002708
13,0.00000961
14,0.00000864
15,0.00005017
16,0.00001549
17,0.00000904
18,0.00001509
19,0.00001443
20,0.00002350
21,0.00001748
22,0.00002652
23,0.00002259
24,0.00002865
25,0.00003677
26,0.00001835
27,0.00001058
28,0.00000406
29,0.00000765
30,0.00001133
31,0.00000374
32,0.00000205
33,0.00000352
34,0.00000382
35,0.00000236
36,0.00001118
37,0.00000713
38,0.00001508
39,0.00001215
40,0.00000715
41,0.00000644
42,0.00000918
43,0.00000184
44,0.00000598
45,0.00000550
46,0.00000517
47,0.00005467
48,0.00000235
49,0.00000251
50,0.00000182
51,0.00000835
52,0.00000146
53,0.00000398
54,0.00000723
55,0.00002226
56,0.00000973
57,0.00000323
58,0.00000958
59,0.00000275
60,0.00000386
61,0.00000339
62,0.00000362
63,0.00000942
64,0.00000220
65,0.00006927
66,0.00001851
67,0.00001514
68,0.00000381
69,0.00000792
70,0.00000768
71,0.00001455
72,0.00001226
73,0.00001241
74,0.00000638
75,0.00000345
76,0.00000556
77,0.00000738
78,0.00002616
79,0.00003542
80,0.00004088
81,0.00008955
82,0.00004286
83,0.00008419
84,0.00003322
85,0.00006819
86,0.00009174
87,0.00004003
88,0.00009799
89,0.00005977
90,0.00003044
91,0.00008103
92,0.00002752
93,0.00003045
94,0.00001486
95,0.00001126
96,0.00005855
97,0.00004478
98,0.00009433
99,0.00004175
100,0.00004030
1,0.00020352
2,0.00038184
3,0.00022481
4,0.00017209
5,0.00028537
6,0.00019189
7,0.00012198
8,0.00029103
9,0.00022263
10,0.00025307
11,0.00035224
12,0.00020515
13,0.00033401
14,0.00006316
15,0.00013672
16,0.00018784
17,0.00033389
18,0.00034025
19,0.00027617
20,0.00017688
21,0.00024970
22,0.00024364
23,0.00012536
24,0.00009644
25,0.00011943
26,0.00001392
27,0.00011908
28,0.00021260
29,0.00017778
30,0.00022128
31,0.00029006
32,0.00016143
33,0.00013160
34,0.00021513
35,0.00018118
36,0.00003789
37,0.00007339
38,0.00004329
39,0.00010734
40,0.00008426
41,0.00004572
42,0.00002390
43,0.00002343
44,0.00003871
45,0.00007367
46,0.00012164
47,0.00005360
48,0.00010581
49,0.00000329
50,0.00001273
51,0.00010232
52,0.00008914
53,0.00003006
54,0.00001291
55,0.00025831
56,0.00003150
57,0.00004720
58,0.00013069
59,0.00002537
60,0.00005732
61,0.00012477
62,0.00005975
63,0.00001730
64,0.00001933
65,0.00008196
66,0.00000804
67,0.00000870
68,0.00023119
69,0.00049441
70,0.00009791
71,0.00004906
72,0.00052894
73,0.00036224
74,0.00032479
75,0.00021705
76,0.00001648
77,0.00000297
78,0.00001438
79,0.00008233
80,0.00057759
81,0.00051753
82,0.00059196
83,0.00018638
84,0.00005436
85,0.00002517
86,0.00001628
87,0.00003672
88,0.00012209
89,0.00001157
90,0.00000572
91,0.00010062
92,0.00038481
93,0.00031490
94,0.00001868
95,0.00003968
96,0.00010223
97,0.00036731
98,0.00044484
99,0.00049066
100,0.00019287
