timestamp_ms,ax,ay,az,gx,gy,gz
1456,0.0601,0.0071,1.0354,-0.8550,-2.4885,-0.9771
1460,0.0754,-0.0056,1.1216,-0.0305,-3.0229,-0.9924
1470,0.0635,-0.0461,1.0088,1.1298,-2.3664,-0.9008
1480,0.0747,-0.0112,1.0188,-0.0305,-2.6260,-1.2061
1490,0.0596,-0.0120,1.0911,0.6718,-2.9008,-0.8397
1500,0.0723,-0.0588,0.9939,0.6870,-2.4275,-0.6718
1510,0.0679,0.0115,1.0374,-0.4122,-2.7634,-0.7481
1520,0.0679,-0.0417,1.0791,0.6870,-2.6107,-1.0382
1530,0.0735,-0.0422,0.9937,0.1374,-2.5496,-0.9313
1540,0.0625,0.0137,1.0635,0.1832,-2.4580,-0.5496
1559,0.0659,-0.0232,0.9927,0.1985,-2.3817,-0.9924
1560,0.0659,-0.0232,0.9927,0.1985,-2.3817,-0.9924
1570,0.0625,-0.0430,1.0769,0.2748,-2.4580,-0.9618
1580,0.0681,-0.0437,0.9910,0.0763,-2.4427,-0.7939
1590,0.0647,0.0115,1.0718,0.2901,-2.6565,-0.8550
1600,0.0620,-0.0557,1.0569,0.3053,-2.5802,-1.0076
1610,0.0669,-0.0232,0.9963,0.0305,-2.4427,-0.9008
1620,0.0588,0.0029,1.0837,0.2901,-2.7481,-1.1298
1630,0.0657,-0.0645,1.0369,0.2748,-2.4885,-0.7786
1640,0.0654,-0.0017,0.9985,0.1985,-2.5496,-0.6260
1650,0.0559,-0.0154,1.0920,0.1679,-2.6718,-1.0229
1660,0.0679,-0.0610,1.0103,0.2748,-2.4733,-0.4733
1670,0.0635,0.0149,1.0271,0.2137,-2.5649,-1.1145
1680,0.0601,-0.0325,1.0850,0.1985,-2.5802,-0.5038
1690,0.0691,-0.0503,0.9944,0.2137,-2.5802,-1.0229
1700,0.0608,0.0156,1.0542,0.1985,-2.5191,-0.5191
1710,0.0605,-0.0537,1.0693,0.1374,-2.5954,-0.9466
1720,0.0669,-0.0288,0.9880,0.2137,-2.4275,-1.0534
1730,0.0603,0.0073,1.0808,0.1985,-2.6870,-0.3664
1740,0.0613,-0.0635,1.0469,0.2443,-2.5191,-1.0076
1750,0.0640,-0.0081,0.9963,0.2748,-2.4580,-0.9160
1760,0.0525,-0.0056,1.0908,0.1832,-2.6260,-0.0916
1770,0.0671,-0.0647,1.0210,0.1985,-2.4580,-0.3206
1780,0.0698,0.0088,1.0117,0.2748,-2.7328,-1.3130
1790,0.0586,-0.0244,1.0930,0.2137,-2.5802,-1.3740
1800,0.0669,-0.0571,0.9968,0.2595,-2.5344,-0.7634
1810,0.0591,0.0115,1.0386,0.2290,-2.5344,-0.4580
